Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HSKHDBE01AWYMX	55-479	425	15-479	465	513
HSKHDBE01AMOMT	59-452	394	15-452	438	460
HSKHDBE01CM2VQ	54-244	191	15-272	258	351
HSKHDBE01EHEPH	55-512	458	15-513	499	525
HSKHDBE01A6DKA	93-331	239	15-346	332	528
HSKHDBE01DZLUI	57-154	98	15-154	140	503
HSKHDBE01CPUB8	37-88	52	15-88	74	632
HSKHDBE01ADK3X	59-363	305	15-363	349	523
HSKHDBE01DXSUH	56-489	434	15-489	475	495
HSKHDBE01D0CHS	37-49	13	15-49	35	735
HSKHDBE01BQTE4	58-186	129	15-186	172	188
HSKHDBE01B5CT6	59-114	56	15-114	100	399
HSKHDBE01AH606	56-217	162	15-217	203	609
HSKHDBE01AFY0X	59-324	266	15-324	310	327
HSKHDBE01EHX78	56-491	436	15-491	477	557
HSKHDBE01EEXLB	59-364	306	15-418	404	441
HSKHDBE01D373U	58-322	265	15-322	308	511
HSKHDBE01DIO88	59-510	452	15-510	496	512
HSKHDBE01C8ANE	56-433	378	15-433	419	510
HSKHDBE01DKM1E	55-520	466	15-520	506	523
HSKHDBE01BKG75	55-483	429	15-483	469	526
HSKHDBE01CQZ27	59-458	400	15-477	463	499
HSKHDBE01BJYMK	57-110	54	15-137	123	205
HSKHDBE01DLY6H	55-513	459	15-513	499	527
HSKHDBE01EIA5H	93-330	238	15-342	328	503
HSKHDBE01CQ7ZC	61-465	405	15-465	451	466
HSKHDBE01D5F5K	53-173	121	15-173	159	759
HSKHDBE01DVADX	56-507	452	15-507	493	509
HSKHDBE01BSETC	61-463	403	15-463	449	471
HSKHDBE01EXVVN	57-475	419	15-475	461	510
HSKHDBE01B3NBR	58-365	308	15-365	351	521
HSKHDBE01DO5K4	61-405	345	15-438	424	519
HSKHDBE01EVBMI	36-36	1	15-52	38	483
HSKHDBE01CBIU5	61-504	444	15-504	490	517
HSKHDBE01ANAU3	61-512	452	15-512	498	518
HSKHDBE01DQDVL	58-460	403	15-460	446	466
HSKHDBE01CQVZB	54-395	342	15-395	381	530
